id	en	pt	de	es	fr	hu
animations	Animations	Animações	Animationen	Animaciones	Animations	Animációk
enable_transitions	Enable transitions	Ativar transições	Übergänge aktivieren	Habilitar transiciones	Activer les transitions	Átmenetek engedélyezése
language	LANGUAGE	LINGUAGEM	SPRACHE	IDIOMA	LANGUE	NYELV
network_access	NETWORK & ACCESS	REDE E ACESSO	NETZWERK & ZUGANG	RED Y ACCESO	RÉSEAU ET ACCÈS	HÁLÓZAT ÉS HOZZÁFÉRÉS
wifi	Wi-Fi	Wi-fi	W-lan	Wi-Fi	Wi-Fi	Wi-Fi
scan_docs	Scan for maintenance docs	Digitalize para obter documentos de manutenção.	Nach Wartungsdokumenten suchen	Escanee en busca de documentos de mantenimiento.	Rechercher les documents de maintenance	Karbantartási dokumentációk beolvasása
wifi_state	Levland-Ops · connected	Levland-Ops · conectado	Levland-Ops · verbunden	Levland-Ops · conectado	Levland-Ops · connecté	Levland-Ops · csatlakoztatva
contactless_payments	Contactless payments	pagamentos sem contato	Kontaktloses Bezahlen	Pagos sin contacto	paiements sans contact	Érintésmentes fizetések
accept_tap	Accept tap-to-pay	Aceite pagamentos por aproximação	Akzeptieren Sie kontaktloses Bezahlen.	Aceptamos pagos sin contacto.	Acceptez le paiement sans contact	Érintéses fizetés elfogadása
bay_reserve	Bay reservations	Reservas na baía	Buchtreservierungen	Reservas de la bahía	Réservations de la baie	Öböl-rezervátumok
pre_book	Allow drivers to pre-book	Permitir que os motoristas façam reservas antecipadas	Ermöglichen Sie es Fahrern, im Voraus zu buchen	Permitir que los conductores reserven con antelación.	Autoriser les chauffeurs à réserver à l'avance	Engedélyezze a sofőröknek az előzetes foglalást
firmware_ver	Firmware v3.2.1	Firmware v3.2.1	Firmware v3.2.1	Firmware v3.2.1	Firmware v3.2.1	Firmware v3.2.1
up_to_date	· up to date	· atualizado	• auf dem neuesten Stand	· A hoy	· à jour	· naprakész
charging_preferences	Charging preferences	Preferências de carregamento	Ladeeinstellungen	preferencias de carga	préférences de facturation	Töltési beállítások
session_name	Aurex EX40 · adjust this session	Aurex EX40 · ajustar esta sessão	Aurex EX40 · diese Sitzung anpassen	Aurex EX40 · ajustar esta sesión	Aurex EX40 · ajuster cette session	Aurex EX40 · módosítsa ezt a munkamenetet
charge_limit	Charge limit	Limite de cobrança	Ladelimit	Límite de cargo	Limite de charge	Díjkorlát
stop_level	Stop when the battery reaches this level	Pare quando a bateria atingir este nível.	Stoppen Sie, sobald der Akku diesen Ladestand erreicht hat.	Deténgase cuando la batería alcance este nivel.	Arrêtez-vous lorsque la batterie atteint ce niveau.	Állj meg, amikor az akkumulátor eléri ezt a szintet
off_peak	Off-peak only	Somente fora do horário de pico	Nur außerhalb der Spitzenzeiten	Solo en horas valle	Hors pointe uniquement	Csak csúcsidőn kívül
charge_peak	Charge during cheaper hours	Carregue durante os horários mais baratos.	Laden Sie während der günstigeren Stunden.	Cobrar durante las horas más económicas.	Rechargez pendant les heures creuses.	Díjszabás olcsóbb órákban
notify_done	Notify when done	Avise quando terminar	Benachrichtigen Sie mich, sobald es erledigt ist.	Notificar cuando haya terminado	Prévenez-moi quand ce sera fait	Értesítsen, ha kész
text_80	Text me at 80%	Envie-me uma mensagem quando estiver a 80%	Schreib mir eine SMS bei 80%	Envíame un mensaje de texto al 80%.	Envoie-moi un SMS à 80%	Írj SMS-t 80%-nál
save_changes	Save changes	Salvar alterações	Änderungen speichern	Guardar cambios	Enregistrer les modifications	Változtatások mentése
		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
						
formula	Formula	Fórmula	Formel	Fórmula	Formule	Képlet
